Country,Human Development Index 2021 (HDI) ,Life expectancy at birth 2021,Expected years of schooling 2021,Mean years of schooling 2021,Gross national income (GNI) per capita 2021 (2017 PPP $),GNI per capita rank minus HDI rank 2021,HDI rank 2020,HDI Category 2021
Switzerland,0.962,84.0,16.5,13.9,"66,933",5,3,Very High
Norway,0.961,83.2,18.2,13.0,"64,660",6,1,Very High
Iceland,0.959,82.7,19.2,13.8,"55,782",11,2,Very High
"Hong Kong, China (SAR)",0.952,85.5,17.3,12.2,"62,607",6,4,Very High
Australia,0.951,84.5,21.1,12.7,"49,238",18,5,Very High
Denmark,0.948,81.4,18.7,13.0,"60,365",6,5,Very High
Sweden,0.947,83.0,19.4,12.6,"54,489",9,9,Very High
Ireland,0.945,82.0,18.9,11.6,"76,169",-3,8,Very High
Germany,0.942,80.6,17.0,14.1,"54,534",6,7,Very High
Netherlands,0.941,81.7,18.7,12.6,"55,979",3,10,Very High
Finland,0.940,82.0,19.1,12.9,"49,452",11,12,Very High
Singapore,0.939,82.8,16.5,11.9,"90,919",-10,10,Very High
Belgium,0.937,81.9,19.6,12.4,"52,293",7,16,Very High
New Zealand,0.937,82.5,20.3,12.9,"44,057",16,13,Very High
Canada,0.936,82.7,16.4,13.8,"46,808",9,15,Very High
Liechtenstein,0.935,83.3,15.2,12.5,"146,830",-15,14,Very High
Luxembourg,0.930,82.6,14.4,13.0,"84,649",-13,17,Very High
United Kingdom,0.929,80.7,17.3,13.4,"45,225",9,17,Very High
Japan,0.925,84.8,15.2,13.4,"42,274",12,19,Very High
Korea (Republic of),0.925,83.7,16.5,12.5,"44,501",9,20,Very High
United States,0.921,77.2,16.3,13.7,"64,765",-14,21,Very High
Israel,0.919,82.3,16.1,13.3,"41,524",10,22,Very High
Malta,0.918,83.8,16.8,12.2,"38,884",12,26,Very High
Slovenia,0.918,80.7,17.7,12.8,"39,746",10,23,Very High
Austria,0.916,81.6,16.0,12.3,"53,619",-8,23,Very High
United Arab Emirates,0.911,78.7,15.7,12.7,"62,574",-15,25,Very High
Spain,0.905,83.0,17.9,10.6,"38,354",10,27,Very High
France,0.903,82.5,15.8,11.6,"45,937",-2,28,Very High
Cyprus,0.896,81.2,15.6,12.4,"38,188",9,29,Very High
Italy,0.895,82.9,16.2,10.7,"42,840",0,32,Very High
Estonia,0.890,77.1,15.9,13.5,"38,048",8,30,Very High
Czechia,0.889,77.7,16.2,12.9,"38,745",4,30,Very High
Greece,0.887,80.1,20.0,11.4,"29,002",17,33,Very High
Poland,0.876,76.5,16.0,13.2,"33,034",8,36,Very High
Bahrain,0.875,78.8,16.3,11.0,"39,497",-1,35,Very High
Lithuania,0.875,73.7,16.3,13.5,"37,931",5,34,Very High
Saudi Arabia,0.875,76.9,16.1,11.3,"46,112",-10,38,Very High
Portugal,0.866,81.0,16.9,9.6,"33,155",3,39,Very High
Latvia,0.863,73.6,16.2,13.3,"32,803",4,37,Very High
Andorra,0.858,80.4,13.3,10.6,"51,167",-19,45,Very High
Croatia,0.858,77.6,15.1,12.2,"30,132",8,41,Very High
Chile,0.855,78.9,16.7,10.9,"24,563",14,43,Very High
Qatar,0.855,79.3,12.6,10.0,"87,134",-39,42,Very High
San Marino,0.853,80.9,12.3,10.8,"52,654",-25,46,Very High
Slovakia,0.848,74.9,14.5,12.9,"30,690",1,40,Very High
Hungary,0.846,74.5,15.0,12.2,"32,789",-2,44,Very High
Argentina,0.842,75.4,17.9,11.1,"20,925",17,47,Very High
Türkiye,0.838,76.0,18.3,8.6,"31,033",-3,48,Very High
Montenegro,0.832,76.3,15.1,12.2,"20,839",16,52,Very High
Kuwait,0.831,78.7,15.3,7.3,"52,920",-32,54,Very High
Brunei Darussalam,0.829,74.6,14.0,9.2,"64,490",-42,49,Very High
Russian Federation,0.822,69.4,15.8,12.8,"27,166",-1,49,Very High
Romania,0.821,74.2,14.2,11.3,"30,027",-4,53,Very High
Oman,0.816,72.5,14.6,11.7,"27,054",-2,51,Very High
Bahamas,0.812,71.6,12.9,12.6,"30,486",-8,58,Very High
Kazakhstan,0.811,69.4,15.8,12.3,"23,943",1,59,Very High
Trinidad and Tobago,0.810,73.0,14.5,11.6,"23,392",1,56,Very High
Costa Rica,0.809,77.0,16.5,8.8,"19,974",8,57,Very High
Uruguay,0.809,75.4,16.8,9.0,"21,269",5,55,Very High
Belarus,0.808,72.4,15.2,12.1,"18,849",8,60,Very High
Panama,0.805,76.2,13.1,10.5,"26,957",-8,67,Very High
Malaysia,0.803,74.9,13.3,10.6,"26,658",-8,61,Very High
Georgia,0.802,71.7,15.6,12.8,"14,664",17,64,Very High
Mauritius,0.802,73.6,15.2,10.4,"22,025",-1,62,Very High
Serbia,0.802,74.2,14.4,11.4,"19,123",4,62,Very High
Thailand,0.800,78.7,15.9,8.7,"17,030",6,64,Very High
Albania,0.796,76.5,14.4,11.3,"14,131",17,68,High
Bulgaria,0.795,71.8,13.9,11.4,"23,079",-8,64,High
Grenada,0.795,74.9,18.7,9.0,"13,484",18,70,High
Barbados,0.790,77.6,15.7,9.9,"12,306",26,71,High
Antigua and Barbuda,0.788,78.5,14.2,9.3,"16,792",2,71,High
Seychelles,0.785,71.3,13.9,10.3,"25,831",-17,69,High
Sri Lanka,0.782,76.4,14.1,10.8,"12,578",21,75,High
Bosnia and Herzegovina,0.780,75.3,13.8,10.5,"15,242",4,73,High
Saint Kitts and Nevis,0.777,71.7,15.4,8.7,"23,358",-16,76,High
Iran (Islamic Republic of),0.774,73.9,14.6,10.6,"13,001",15,77,High
Ukraine,0.773,71.6,15.0,11.1,"13,256",11,78,High
North Macedonia,0.770,73.8,13.6,10.2,"15,918",-3,79,High
China,0.768,78.2,14.2,7.6,"17,504",-8,82,High
Dominican Republic,0.767,72.6,14.5,9.3,"17,990",-11,82,High
Moldova (Republic of),0.767,68.8,14.4,11.8,"14,875",-1,81,High
Palau,0.767,66.0,15.8,12.5,"13,819",5,80,High
Cuba,0.764,73.7,14.4,12.5,"7,879",37,73,High
Peru,0.762,72.4,15.4,9.9,"12,246",13,85,High
Armenia,0.759,72.0,13.1,11.3,"13,158",4,87,High
Mexico,0.758,70.2,14.9,9.2,"17,896",-16,88,High
Brazil,0.754,72.8,15.6,8.1,"14,370",-5,86,High
Colombia,0.752,72.8,14.4,8.9,"14,384",-7,88,High
Saint Vincent and the Grenadines,0.751,69.6,14.7,10.8,"11,961",11,82,High
Maldives,0.747,79.9,12.6,7.3,"15,448",-14,97,High
Algeria,0.745,76.4,14.6,8.1,"10,800",13,96,High
Azerbaijan,0.745,69.4,13.5,10.5,"14,257",-8,100,High
Tonga,0.745,71.0,16.0,11.4,"6,822",34,90,High
Turkmenistan,0.745,69.3,13.2,11.3,"13,021",-1,93,High
Ecuador,0.740,73.7,14.6,8.8,"10,312",11,99,High
Mongolia,0.739,71.0,15.0,9.4,"10,588",9,90,High
Egypt,0.731,70.2,13.8,9.6,"11,732",4,97,High
Tunisia,0.731,73.8,15.4,7.4,"10,258",10,94,High
Fiji,0.730,67.1,14.7,10.9,"9,980",9,94,High
Suriname,0.730,70.3,13.0,9.8,"12,672",-6,92,High
Uzbekistan,0.727,70.9,12.5,11.9,"7,917",18,107,High
Dominica,0.720,72.8,13.3,8.1,"11,488",0,106,High
Jordan,0.720,74.3,10.6,10.4,"9,924",8,104,High
Libya,0.718,71.9,12.9,7.6,"15,336",-27,117,High
Paraguay,0.717,70.3,13.0,8.9,"12,349",-10,100,High
"Palestine, State of",0.715,73.5,13.4,9.9,"6,583",21,109,High
Saint Lucia,0.715,71.1,12.9,8.5,"12,048",-7,104,High
Guyana,0.714,65.7,12.5,8.6,"22,465",-47,107,High
South Africa,0.713,62.3,13.6,11.4,"12,948",-17,102,High
Jamaica,0.709,70.5,13.4,9.2,"8,834",4,110,High
Samoa,0.707,72.8,12.4,11.4,"5,308",24,112,High
Gabon,0.706,65.8,13.0,9.4,"13,367",-25,113,High
Lebanon,0.706,75.0,11.3,8.7,"9,526",-1,103,High
Indonesia,0.705,67.6,13.7,8.6,"11,466",-11,116,High
Viet Nam,0.703,73.6,13.0,8.4,"7,867",6,113,High
Philippines,0.699,69.3,13.1,9.0,"8,920",-3,113,Medium
Botswana,0.693,61.1,12.3,10.3,"16,198",-43,110,Medium
