qPE,fprompt,subeventN,eventTime,numEarlyPulses,fmaxpe,neckVetoN,chargetopring,chargesecondring,chargebottomring,chargesecondbottomring,chargethirdbottomring,pulseindexfirstgar,nSCBayes,rprompt60Bayes,mblikelihoodX,mblikelihoodY,mblikelihoodZ,mblikelihoodR,timefit2X,timefit2Y,timefit2Z,deltat,ar40recoils,multiplerecoils
124.141,0.718412,1,2482.56,0,0.0375897,0,0.489214,0,3.75269,1.7731,2.0141,6,122.985,0.705331,-503.805,-130.72,-161.944,545.099,-657.14,-91.7037,-163.845,1.21713e+09,1,0
70.9832,0.588649,1,2430.83,1,0.0386596,0,1.08177,0.797658,0,1.50138,1.02298,4,66.3247,0.336552,550.146,141.997,-136.025,584.232,756.071,-12.6274,-220.268,1.77796e+08,2,1
102.759,0.593867,1,2434.92,0,0.0434354,0,1.44395,0,4.45313,0,0,10,96.7526,0.424662,-248.059,-570.13,-37.1682,622.866,-186.042,-728.982,-298.363,3.10852e+09,3,1
91.1607,0.647908,1,2469.96,1,0.0762242,0,1.00222,0.378861,0.785043,3.02976,1.11181,5,85.921,0.715032,-33.0709,557.905,-243.44,609.602,-27.5744,684.606,-236.102,4.6034e+08,1,0
153.948,0.524905,1,2384,0,0.0482775,0,3.42501,1.21717,3.88327,5.95274,0,12,133.906,0.21852,189.714,116.252,67.7249,232.578,-87.7712,287.97,62.1698,1.32554e+09,4,1
69.742,0.46575,1,2450.58,0,0.0447893,0,1.55827,0.823304,0,0.445415,0,5,63.0174,0.43601,553.138,12.9661,226.791,597.966,774.117,-181.35,264.385,1.50277e+08,5,1
208.245,0.550116,1,2445.07,0,0.0720462,0,3.20764,1.78115,5.53609,1.7039,2.4681,6,172.285,0.507756,-447.539,184.23,-389.708,621.373,-475.593,265.55,-300.136,5.26753e+09,5,1
108.634,0.564046,1,2426.89,0,0.0325856,0,1.67939,1.9788,0,0,0.940823,3,105.086,0.352901,20.713,-457.049,11.2889,457.658,-19.1412,-812.87,71.0303,4.63018e+08,6,1
191.663,0.404669,1,2364.6,0,0.0720596,0,1.93952,1.74917,0,1.28127,5.70777,4,172.999,0.159103,-154.646,-519.715,14.8683,542.439,-226.076,-780.411,-197.162,9.30907e+08,10,1
95.5529,0.302285,1,2411.51,0,0.0811479,0,0.262223,0.424122,0,4.04673,4.06248,6,79.967,0.158826,-163.165,-355.072,-313.258,500.829,238.256,-412.93,-687.749,8.9952e+08,8,1
167.902,0.768723,1,2425.7,0,0.0484853,0,1.67402,3.89607,4.6459,3.54402,6.68817,19,165.28,0.770873,-338.299,86.9245,-285.341,451.023,-412.158,238.487,-320.314,1.05234e+09,1,0
