qPE,fprompt,subeventN,eventTime,numEarlyPulses,fmaxpe,neckVetoN,chargetopring,chargesecondring,chargebottomring,chargesecondbottomring,chargethirdbottomring,pulseindexfirstgar,nSCBayes,rprompt60Bayes,mblikelihoodX,mblikelihoodY,mblikelihoodZ,mblikelihoodR,timefit2X,timefit2Y,timefit2Z,deltat,ar40recoils,multiplerecoils
22958.7,0.313967,1,2523.19,0,0.0163942,0,273.899,296.431,339.708,418.269,374.579,10,20031.6,0.302998,46.4177,-513.876,-184.307,547.898,41.2062,-550.522,-184.444,1.98576e+10,8,1
266.311,0.740511,1,2493.38,0,0.0350423,0,4.26965,0.864901,3.59562,4.20751,4.6226,8,260.429,0.709158,-670.697,-213.524,-129.811,715.735,-681.333,-223.183,-143.284,1.04052e+10,1,0
10359.5,0.284722,1,2503.63,0,0.00872819,0,280.071,268.822,146.817,151.718,160.908,0,8981.6,0.268251,-246.802,-12.9595,243.947,347.26,-669.078,-17.9745,495.456,1.89843e+08,5,1
807.041,0.283712,1,2491.75,2,0.0508669,0,11.0797,15.3254,10.5262,11.4889,11.4306,1,719.441,0.261381,-479.071,-411.146,406.494,750.858,-539.438,-486.749,410.871,5.77513e+09,3,1
453.451,0.52664,1,2473.05,1,0.0978318,0,4.56406,3.05034,9.34458,9.52721,2.30659,8,417.203,0.526028,659.77,-236.568,-480.814,849.967,644.984,-245.268,-466.792,5.368e+08,15,1
749.818,0.641137,1,2462.12,0,0.03047,0,23.3678,11.5757,14.6011,7.10986,8.65598,2,645.044,0.680474,-29.5605,384.159,206.253,437.026,113.866,506.383,200.94,7.89895e+09,6,1
620.456,0.657248,1,2480.24,0,0.0584907,0,6.339,10.4828,4.28708,12.9465,10.7993,2,549.251,0.689274,-606.03,56.8604,429.299,744.851,-599.409,94.7277,451.32,2.42143e+09,4,1
1330.48,0.285725,1,2507.1,0,0.170338,0,10.7158,14.5679,14.2698,19.0638,18.995,0,1136.95,0.283086,557.664,631.708,-110.928,849.912,524.51,617.279,-68.264,9.58337e+09,1,0
9563.01,0.285562,1,2489.39,1,0.0232439,0,122.611,125.052,159.342,223.42,232.609,6,8270.52,0.270895,368.201,-310.022,-374.602,609.928,396.298,-339.33,-393.538,2.93035e+10,5,1
10269.8,0.322578,1,2502.92,0,0.029206,0,133.417,137.387,315.273,415.425,404.242,3,8894.51,0.308767,203.469,-269.274,-540.687,637.378,227.523,-326.71,-611.232,3.71107e+09,8,1
22949.8,0.277155,1,2536.33,0,0.0165061,0,350.446,312.594,273.056,338.723,311.99,0,20101.2,0.25426,461.583,-265.442,19.015,532.804,516.432,-273.629,33.084,5.50455e+09,4,1
254.818,0.663053,1,2468.59,0,0.0409746,0,4.33778,5.11861,12.4173,14.6789,17.4381,1,246.665,0.628794,-16.9041,-288.796,-598.362,664.624,-196.636,-29.1717,-812.94,1.80081e+10,3,1
11991.2,0.325572,1,2512.12,0,0.0116372,0,151.929,132.332,203.396,255.09,254.385,19,10325.9,0.314752,-376.307,-137.809,-233.985,464.055,-471.453,-140.872,-269.799,6.33211e+09,12,1
1650.35,0.672605,1,2484.75,0,0.0816978,0,18.8142,21.5451,24.9141,27.9742,28.0794,2,1500.24,0.67373,30.3409,-743.305,-254.577,786.277,-12.7904,-781.852,-286.297,5.44006e+06,15,1
11170.5,0.287387,1,2505.12,0,0.0196893,0,128.828,136.085,162.494,228.763,197.798,15,9638.07,0.268609,-307.147,-506.052,-175.648,617.479,-340.021,-601.175,-230.193,8.00666e+08,15,1
11588.5,0.321513,1,2502.21,0,0.0273721,0,118.852,129.318,254.961,309.857,272.138,16,10084.8,0.305755,-417.533,219.048,-428.988,637.453,-460.736,221.327,-458.844,1.14882e+09,10,1
9994.02,0.271132,1,2485,0,0.0775444,0,107.985,128.519,128.169,166.524,164.175,2,8574.86,0.258751,682.856,171.146,-364.26,792.634,664.613,179.603,-350.244,8.30275e+08,1,0
10675.9,0.284233,1,2493.21,0,0.0388434,0,153.327,114.403,166.409,180.647,166.706,5,9218.79,0.265606,-644.289,-60.5908,-248.854,693.331,-661.113,-58.2525,-235.391,5.42829e+08,2,1
16744,0.294602,1,2532.16,1,0.0815098,0,198.8,204.822,340.293,398.344,383.66,2,14593.3,0.279469,559.272,-6.55221,-557.32,789.578,561.909,10.5414,-537.152,1.89113e+09,5,1
11186.4,0.310876,1,2492.04,0,0.0297364,0,144.206,160.837,137.108,156.708,126.786,0,9739.18,0.292287,328.941,482.843,303.834,658.525,317.734,530.625,356.029,1.57151e+08,7,1
11609.1,0.310817,1,2501.51,0,0.0152339,0,168.042,172.211,178.325,203.212,176.383,2,10011.3,0.296376,279.568,-370.084,-110.954,476.897,291.548,-411.251,-89.8323,3.91671e+09,6,1
1043.45,0.574751,1,2472.04,0,0.088956,0,5.23912,14.4519,10.7963,20.2265,15.7724,0,937.662,0.589548,-767.559,-260.417,57.151,812.546,-770.422,-270.669,71.8338,7.6585e+08,3,1
53.4829,0.461418,1,2374.88,0,0.0590194,0,4.67883,0,1.3664,1.8362,0.602074,0,53.0165,0.333067,324.866,-459.6,261.49,620.602,-99999,-99999,-99999,3.77182e+09,3,1
