qPE,fprompt,subeventN,eventTime,numEarlyPulses,fmaxpe,neckVetoN,chargetopring,chargesecondring,chargebottomring,chargesecondbottomring,chargethirdbottomring,pulseindexfirstgar,nSCBayes,rprompt60Bayes,mblikelihoodX,mblikelihoodY,mblikelihoodZ,mblikelihoodR,timefit2X,timefit2Y,timefit2Z,deltat,ar40recoils,multiplerecoils
897.881,0.288192,3,6823.58,0,0.10006,0,8.99795,10.1446,7.16615,14.5911,9.45856,7,791.653,0.252861,-820.292,-21.3818,90.2634,825.52,-824.671,2.71637,123.966,0,19,1
34.3416,0.61638,1,2419.3,0,0.0768135,0,0,0,1.38824,1.68189,0,256,35.3136,0.518986,469.813,-201.991,-541.423,744.757,-99999,-99999,-99999,1411870000,1,0
13220.7,0.263567,1,2518.48,0,0.147903,0,151.483,170.068,223.164,294.089,259.011,16,11699.8,0.245206,-426.294,366.477,-629.058,843.65,-400.105,351.846,-572.974,342116000,0,0
339.598,0.266796,1,2533.96,0,0.301061,0,0.548762,3.66632,3.03054,2.73663,1.34899,4,305.967,0.25781,265.74,728.321,347.999,849.807,333.28,706.964,292.906,1882110000,0,0
8236.18,0.290964,1,2499.11,0,0.0346119,0,95.2399,87.4568,128.789,125.052,93.8943,3,7023.96,0.277564,-303.382,-645.536,15.0821,713.432,-293.501,-642.854,12.9752,1761190000,6,1
23070.4,0.27967,1,2513.05,0,0.0445652,0,291.771,285.847,829.753,903.121,837.546,8,20168,0.265905,361.525,-135.802,-607.771,720.089,391.899,-144.548,-589.073,766362000,3,1
563.813,0.685218,1,2479.2,0,0.0554935,0,8.0772,7.24667,11.8697,8.91776,1.14167,22,518.39,0.676466,753.919,6.9988,10.7751,754.028,778.363,110.097,101.362,0,5,1
50.7733,0.564367,1,2441.98,1,0.136233,0,0,0,0,2.92739,2.76075,7,48.5189,0.482122,591.25,91.3628,-532.515,800.934,-99999,-99999,-99999,2319840000,8,1
112.657,0.591196,1,2481.26,0,0.101929,0,0,0.904161,9.38216,3.83226,14.4364,6,103.91,0.687969,-126.63,270.504,-761.63,818.1,-163.283,321.725,-728.07,1104590000,1,0
96.1947,0.582086,1,2463.4,1,0.14328,0,3.54197,0,1.46043,2.33812,1.64732,1,91.9769,0.581464,592.744,-388.748,468.558,849.716,561.618,-375.007,490.459,768611000,1,0
268.271,0.270082,1,2525.2,0,0.083552,0,6.87398,22.4146,12.0568,15.8378,25.1305,7,220.515,0.226025,-17.3299,-360.616,-746.269,829.012,24.1368,-389.846,-667.919,945599000,0,0
